iterations,top_n,coherence,LL
3400,5,0.138662171606208,-8.3273
3450,5,0.1382278175642898,-8.32699
3500,5,0.14050757669903816,-8.32966
3550,5,0.14161566185148833,-8.32367
3600,5,0.14390647055861464,-8.33028
3650,5,0.14016139265323468,-8.3209
3700,5,0.1382291017965528,-8.33104
3750,5,0.13710006400400568,-8.3275
3800,5,0.14007453969169853,-8.32938
3850,5,0.13681052439331637,-8.32534
3900,5,0.1380566313630664,-8.32843
3950,5,0.13654152693192412,-8.32397
4000,5,0.13776063365046665,-8.32683
50,10,0.05222983046255877,-9.03463
100,10,0.06509296552952547,-8.88493
150,10,0.07435205109674578,-8.837
200,10,0.08016774050706381,-8.79717
250,10,0.08432140160014592,-8.74579
300,10,0.08898887277741681,-8.62974
350,10,0.09317390935849827,-8.55515
400,10,0.09429846256063444,-8.519
450,10,0.09467366583111109,-8.49088
500,10,0.09671876086968897,-8.46451
550,10,0.09602122317734799,-8.45042
600,10,0.09695148021650736,-8.43454
650,10,0.09950424468234571,-8.42311
700,10,0.0979465959895727,-8.4165
750,10,0.09715481067525589,-8.40659
800,10,0.09947551371549702,-8.39772
850,10,0.10130487090091955,-8.39121
900,10,0.098909787546578,-8.38641
950,10,0.10006695547586354,-8.38054
1000,10,0.1013634768917084,-8.37982
1050,10,0.10072310936049671,-8.37443
1100,10,0.10107325308251501,-8.37143
1150,10,0.0986054416711659,-8.36656
1200,10,0.09822632598794415,-8.36472
1250,10,0.10160674925348788,-8.36432
1300,10,0.09824504486305907,-8.36101
1350,10,0.10044718843917952,-8.3626
1400,10,0.10385936929683216,-8.36197
1450,10,0.10260099227950514,-8.35519
1500,10,0.0996343284250753,-8.35499
1550,10,0.09968016533148318,-8.3504
1600,10,0.1009704642467877,-8.35674
1650,10,0.10034635637802417,-8.35019
1700,10,0.097826061525852,-8.34983
1750,10,0.09958783162101673,-8.34397
1800,10,0.09891120806650551,-8.3426
1850,10,0.10133198102966078,-8.34394
1900,10,0.10071769902628672,-8.34484
1950,10,0.09929996397806361,-8.34986
2000,10,0.09955694530628366,-8.34597
2050,10,0.09995266191070193,-8.34192
2100,10,0.09893675473021761,-8.34357
2150,10,0.10111661937558207,-8.3388
2200,10,0.09945410881150406,-8.33807
2250,10,0.10229078030313314,-8.33603
2300,10,0.10276446775468251,-8.33825
2350,10,0.09977506607500548,-8.34104
2400,10,0.09804755844346895,-8.34112
2450,10,0.10088853971303817,-8.34039
2500,10,0.10023572518968059,-8.34018
2550,10,0.10022704464127852,-8.34059
2600,10,0.10105475983138452,-8.3416
2650,10,0.099551901011507,-8.33507
2700,10,0.09927268216886477,-8.33273
2750,10,0.09839981020762963,-8.33677
2800,10,0.09896863046715158,-8.34019
2850,10,0.10048521423901965,-8.33552
2900,10,0.09933646431363312,-8.3359
2950,10,0.0995967092724338,-8.33701
3000,10,0.09890900918040807,-8.3323
3050,10,0.10049149030885712,-8.33363
3100,10,0.0994848741368392,-8.33096
3150,10,0.09907441331001943,-8.33229
3200,10,0.10006869172462478,-8.32772
3250,10,0.09992504365338703,-8.32633
3300,10,0.09936754871088095,-8.3325
3350,10,0.0986774877730971,-8.33544
3400,10,0.09946042350849284,-8.3273
3450,10,0.09898545800989934,-8.32699
3500,10,0.09884280962750765,-8.32966
3550,10,0.10055321823951735,-8.32367
3600,10,0.10069778761917407,-8.33028
3650,10,0.09984161083665548,-8.3209
3700,10,0.10095857090835152,-8.33104
3750,10,0.10050666841668993,-8.3275
3800,10,0.10114353359801172,-8.32938
3850,10,0.09943961099327538,-8.32534
3900,10,0.09793435992491366,-8.32843
3950,10,0.09961800495490337,-8.32397
4000,10,0.09821119109829768,-8.32683
50,10,0.05299319888343212,-9.03463
100,10,0.07103579118830003,-8.88493
150,10,0.07643278231916383,-8.837
200,10,0.08313176430615415,-8.79717
250,10,0.08610153456094266,-8.74579
300,10,0.0889051484834215,-8.62974
350,10,0.09174639386339091,-8.55515
400,10,0.09548559147700054,-8.519
450,10,0.09608859038132536,-8.49088
500,10,0.09673005713800663,-8.46451
550,10,0.0981918280846346,-8.45042
600,10,0.10005441756307851,-8.43454
650,10,0.09654730680616666,-8.42311
700,10,0.09970606201135358,-8.4165
750,10,0.10036593869197641,-8.40659
800,10,0.10075013872355605,-8.39772
850,10,0.10023225615732052,-8.39121
900,10,0.09977602343199715,-8.38641
950,10,0.09820805550049821,-8.38054
