K,iterations,coherence,LL
14,4850,0.07513021065660405,-8.40774
14,4900,0.07698307372620351,-8.40482
14,4950,0.07614230990530567,-8.40134
14,5000,0.07543310834606956,-8.4017
14,5050,0.07506797530914665,-8.39806
14,5100,0.07700169697919232,-8.39745
14,5150,0.07537925089158633,-8.3967
14,5200,0.07526176324642882,-8.39786
14,5250,0.07595411493882474,-8.39692
14,5300,0.07451398485238858,-8.39577
14,5350,0.07558425014103555,-8.39522
14,5400,0.07504906590512515,-8.39523
14,5450,0.07528024539113778,-8.39254
14,5500,0.07609647024285195,-8.39317
14,5550,0.07447705065399253,-8.39133
14,5600,0.07681098979417442,-8.39456
14,5650,0.07391759076441265,-8.39127
14,5700,0.07558891005775088,-8.39065
14,5750,0.074091981823957,-8.39103
14,5800,0.07352878044902558,-8.39121
14,5850,0.07706748825974763,-8.39097
14,5900,0.07472315964667572,-8.39189
14,5950,0.07340410836636421,-8.391
14,6000,0.0741133950874851,-8.38974
14,6050,0.07507699386851496,-8.38829
14,6100,0.07376232608840078,-8.38904
14,6150,0.07331887115639041,-8.38959
14,6200,0.0766481446533147,-8.39066
14,6250,0.07472372423288047,-8.38793
14,6300,0.0751407105725381,-8.3897
14,6350,0.07421666476388634,-8.38991
14,6400,0.07427493975053301,-8.3893
14,6450,0.07500421296543987,-8.38894
14,6500,0.07369325776560462,-8.3891
14,6550,0.07501496859736786,-8.38823
14,6600,0.07518173895612276,-8.38704
14,6650,0.07522653716004912,-8.38744
14,6700,0.07375318644589124,-8.38796
14,6750,0.07364078523521217,-8.38807
14,6800,0.07536366053443852,-8.38815
14,6850,0.07488578715468752,-8.38851
14,6900,0.07551083831739856,-8.3876
14,6950,0.07725497532996109,-8.38835
14,7000,0.07523397393349635,-8.38868
17,50,0.05454069854097214,-8.95953
17,100,0.06227927089952482,-8.85096
17,150,0.06665249205150504,-8.81898
17,200,0.0636982054510305,-8.80564
17,250,0.06533804419933392,-8.79956
17,300,0.06557034455006694,-8.79732
17,350,0.0652604860424407,-8.79895
17,400,0.06577273636212141,-8.74531
17,450,0.06745144780785467,-8.75511
17,500,0.06685818601116691,-8.76544
17,550,0.06628037566025383,-8.77037
17,600,0.06837671779041174,-8.74359
17,650,0.07014416097882069,-8.73139
17,700,0.06990959365617588,-8.73573
